reviewId,providerId,providerName,type,region,rule,target,status,sourceUrl,evidenceSummary,suggestedDecision,correctedFields
source-fit-capture:canterbury-talking-therapy:broad-tag-without-source-support:anxiety,canterbury-talking-therapy,Talking Therapy Psychotherapy and Counselling Centre,counsellor,Canterbury,broad-tag-without-source-support,anxiety,source_support_found,https://talkingtherapy.co.nz/,Home Therapists Irene Deliefde Ursula Klein Ingrid Gunby Twane Cheze-Gower Emily Cathro Explore Therapy Counselling Professional Supervision Psychotherapy Issues Treated Anxiety Co,needs human confirmation: add source evidence or leave current tag with review note,{}
source-fit-capture:canterbury-te-tahi-youth:weak-rainbow-evidence:rainbow,canterbury-te-tahi-youth,Te Tahi Youth,youth,Canterbury,weak-rainbow-evidence,rainbow,needs_human_browser_review,https://www.tetahiyouth.org.nz/,,needs_more_info,{}
source-fit-capture:christchurch-psychmed-amanda-baird:broad-tag-without-source-support:work,christchurch-psychmed-amanda-baird,Amanda Baird,psychologist,Canterbury,broad-tag-without-source-support,work,needs_human_browser_review,https://www.christchurchpsychmed.co.nz/about,,needs_more_info,{}
source-fit-capture:christchurch-psychmed-natasha-pomeroy:broad-tag-without-source-support:work,christchurch-psychmed-natasha-pomeroy,Natasha Pomeroy,psychologist,Canterbury,broad-tag-without-source-support,work,needs_human_browser_review,https://www.christchurchpsychmed.co.nz/about,,needs_more_info,{}
source-fit-capture:christchurch-psychmed-steve-humm:broad-tag-without-source-support:depression,christchurch-psychmed-steve-humm,Steve Humm,psychologist,Canterbury,broad-tag-without-source-support,depression,needs_human_browser_review,https://www.christchurchpsychmed.co.nz/about,,needs_more_info,{}
source-fit-capture:dunedin-bernadette-berry-delta-psychology:broad-tag-without-source-support:anxiety,dunedin-bernadette-berry-delta-psychology,"Bernadette Berry, Delta Psychology",psychologist,Otago,broad-tag-without-source-support,anxiety,safe_removal_candidate,https://www.nzccp.co.nz/team/bernadette-berry,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""psychologist"",""clinical-psychologist"",""fit"",""trauma"",""trauma-informed"",""ptsd"",""adhd"",""acc"",""telehealth"",""act"",""cbt"",""emdr"",""cost"",""direct-contact""]}"
source-fit-capture:dunedin-otago-clinical-psychology-centre:broad-tag-without-source-support:trauma,dunedin-otago-clinical-psychology-centre,University of Otago Clinical Psychology Centre,psychologist,Otago,broad-tag-without-source-support,trauma,needs_human_browser_review,https://www.otago.ac.nz/psychology/clinicalpsychologycentre,,needs_more_info,{}
source-fit-capture:dunedin-parker-chin-psychology:broad-tag-without-source-support:depression,dunedin-parker-chin-psychology,Parker & Chin Psychology,psychologist,Otago,broad-tag-without-source-support,depression,needs_human_browser_review,https://www.parkerandchin.com/,,needs_more_info,{}
source-fit-capture:dunedin-parker-chin-psychology:broad-tag-without-source-support:anxiety,dunedin-parker-chin-psychology,Parker & Chin Psychology,psychologist,Otago,broad-tag-without-source-support,anxiety,needs_human_browser_review,https://www.parkerandchin.com/,,needs_more_info,{}
source-fit-capture:gp-best-care-whakapai-hauora-charitable-trust-40-3792-175-5843:weak-maori-evidence:maori,gp-best-care-whakapai-hauora-charitable-trust-40-3792-175-5843,Best Care (Whakapai Hauora) Charitable Trust,gp,Manawatu-Whanganui,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-hauora-health-centre-41-2738-173-2873:weak-maori-evidence:maori,gp-hauora-health-centre-41-2738-173-2873,Hauora Health Centre,gp,Nelson Marlborough Tasman,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-horotiu-hauora-family-health-37-7008-175-2034:weak-maori-evidence:maori,gp-horotiu-hauora-family-health-37-7008-175-2034,Horotiu Hauora Family Health,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-m-ori-hill-clinic-45-8581-170-5008:weak-maori-evidence:maori,gp-m-ori-hill-clinic-45-8581-170-5008,Māori Hill Clinic,gp,Otago,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-maraenui-medical-centre-39-5153-176-9056:weak-maori-evidence:maori,gp-maraenui-medical-centre-39-5153-176-9056,Maraenui Medical Centre,gp,Hawke's Bay,weak-maori-evidence,maori,safe_removal_candidate,https://doctorpricer.co.nz/,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""gp"",""primary-care"",""mental-health"",""medication"",""depression"",""anxiety"",""work"",""cost"",""not-enrolling""]}"
source-fit-capture:gp-ng-ti-kahu-hauora-gp-service-37-6904-176-1078:weak-maori-evidence:maori,gp-ng-ti-kahu-hauora-gp-service-37-6904-176-1078,Ngāti Kahu Hauora GP Service,gp,Bay of Plenty,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-pirirakau-hauora-gp-clinic-37-6671-176-0795:weak-maori-evidence:maori,gp-pirirakau-hauora-gp-clinic-37-6671-176-0795,Pirirakau Hauora GP Clinic,gp,Bay of Plenty,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-raukura-hauora-o-tainui-nga-miro-37-6628-175-1543:weak-maori-evidence:maori,gp-raukura-hauora-o-tainui-nga-miro-37-6628-175-1543,Raukura Hauora O Tainui - Nga Miro,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
